Name,Code,Question,Reponse,nombreconnexion,datepremiereconnexion,datederniereconnexion,echecconnexion,perfenregistre,nombredeprediction,messageenvoye,messagesansreponse
 gofro, gofro6362,Quel est ton record personnel sur 10 km (approximatif) ?,40,10,2025-10-27 10:20:18,2025-11-07 09:54:20,7.0,1.0,2.0,1.0,
 maminou, maminou7263,Quel est le prénom de ton premier coach ?,martin,1,2025-10-27 11:06:06,2025-10-27 11:06:06,0.0,0.0,0.0,0.0,0.0
 Benoitgofadmin, Benoitgofadmin9660,Quel est ton record personnel sur 10 km (approximatif) ?,40,12,2025-10-27 11:23:18,2025-11-07 09:54:51,0.0,1.0,4.0,0.0,0.0
 kiki, kiki5018,Quel est le prénom de ton premier coach ?,martin,2,2025-11-07 09:33:46,2025-11-07 09:34:18,2.0,2.0,1.0,0.0,0.0
Benoitgofadmin,Benoitgofadmin433,Dans quelle ville as-tu couru ta première course ?,martique,1,2025-11-07 09:40:18,2025-11-07 09:40:18,0.0,0.0,0.0,0.0,0.0
 pipi, pipi5337,Quel est le prénom de ton premier coach ?,martin,1,2025-11-07 09:41:13,2025-11-07 09:41:13,0.0,0.0,0.0,0.0,0.0
